IndividualID	Gender	Population
NA19785	2	MXL
NA19786	1	MXL
NA19788	2	MXL
NA19789	1	MXL
NA19794	2	MXL
NA19795	1	MXL
NA19818	1	ASW
NA19819	2	ASW
NA19834	1	ASW
NA19835	2	ASW
NA19900	1	ASW
NA19901	2	ASW
NA19904	1	ASW
NA19908	1	ASW
NA19909	2	ASW
NA19914	2	ASW
NA19916	1	ASW
NA19917	2	ASW
NA19920	1	ASW
NA19921	2	ASW
NA19922	1	ASW
NA19923	2	ASW
NA19982	1	ASW
NA19984	1	ASW
NA19985	2	ASW
NA20126	1	ASW
NA20127	2	ASW
NA20276	2	ASW
NA20278	1	ASW
NA20281	1	ASW
NA20282	2	ASW
NA20287	2	ASW
NA20289	2	ASW
NA20291	1	ASW
NA20294	2	ASW
NA20296	2	ASW
NA20298	1	ASW
NA20299	2	ASW
NA20314	2	ASW
NA20317	2	ASW
NA20322	2	ASW
NA20332	2	ASW
NA20334	2	ASW
NA20336	2	ASW
NA20339	2	ASW
NA20340	1	ASW
NA20341	2	ASW
NA20342	1	ASW
NA20344	2	ASW
NA20346	1	ASW
NA20348	1	ASW
NA20351	1	ASW
NA20356	1	ASW
NA20357	2	ASW
NA20359	2	ASW
NA20363	2	ASW
NA20412	2	ASW
NA20414	2	ASW
NA20502	2	TSI
NA20503	2	TSI
NA20504	2	TSI
NA20505	2	TSI
NA20506	2	TSI
NA20507	2	TSI
NA20508	2	TSI
NA20509	1	TSI
NA20510	1	TSI
NA20512	1	TSI
NA20513	1	TSI
NA20515	1	TSI
NA20516	1	TSI
NA20517	2	TSI
NA20518	1	TSI
NA20519	1	TSI
NA20520	1	TSI
NA20521	1	TSI
NA20522	2	TSI
NA20524	1	TSI
NA20525	1	TSI
NA20527	1	TSI
NA20528	1	TSI
NA20529	2	TSI
NA20530	2	TSI
NA20531	2	TSI
NA20532	1	TSI
NA20533	2	TSI
NA20534	1	TSI
NA20535	2	TSI
NA20536	1	TSI
NA20537	1	TSI
NA20538	1	TSI
NA20539	1	TSI
NA20540	2	TSI
NA20541	2	TSI
NA20542	2	TSI
NA20543	1	TSI
NA20544	1	TSI
NA20581	1	TSI
NA20582	2	TSI
NA20585	2	TSI
NA20586	1	TSI
NA20588	1	TSI
NA20589	2	TSI
NA20752	1	TSI
NA20753	2	TSI
NA20754	1	TSI
NA20755	1	TSI
NA20756	2	TSI
NA20757	2	TSI
NA20758	1	TSI
NA20759	1	TSI
NA20760	2	TSI
NA20761	2	TSI
NA20765	1	TSI
NA20766	2	TSI
NA20768	2	TSI
NA20769	2	TSI
NA20770	1	TSI
NA20771	2	TSI
NA20772	2	TSI
NA20773	2	TSI
NA20774	2	TSI
NA20775	2	TSI
