IndividualID	Gender	Population
HG01257	2	CLM
HG01258	1	CLM
HG01259	1	CLM
HG01260	2	CLM
HG01261	1	CLM
HG01269	2	CLM
HG01271	1	CLM
HG01272	2	CLM
HG01273	1	CLM
HG01274	1	CLM
HG01275	2	CLM
HG01276	2	CLM
HG01277	1	CLM
HG01278	2	CLM
HG01279	2	CLM
HG01280	1	CLM
HG01281	2	CLM
HG01284	2	CLM
HG01341	1	CLM
HG01342	2	CLM
HG01343	2	CLM
HG01344	1	CLM
HG01345	2	CLM
HG01346	2	CLM
HG01347	1	CLM
HG01348	2	CLM
HG01349	2	CLM
HG01350	1	CLM
HG01351	2	CLM
HG01352	2	CLM
HG01353	1	CLM
HG01354	2	CLM
HG01355	2	CLM
HG01356	1	CLM
HG01357	2	CLM
HG01358	1	CLM
HG01359	1	CLM
HG01360	2	CLM
HG01361	2	CLM
HG01362	1	CLM
HG01363	2	CLM
HG01364	2	CLM
HG01365	1	CLM
HG01366	2	CLM
HG01367	2	CLM
HG01369	2	CLM
HG01372	2	CLM
HG01374	1	CLM
HG01375	2	CLM
HG01376	2	CLM
HG01377	1	CLM
HG01378	2	CLM
HG01379	2	CLM
HG01383	1	CLM
HG01384	2	CLM
HG01385	2	CLM
HG01389	1	CLM
HG01390	2	CLM
HG01391	2	CLM
HG01431	1	CLM
HG01432	2	CLM
HG01433	1	CLM
HG01435	2	CLM
HG01437	1	CLM
HG01438	2	CLM
HG01439	2	CLM
HG01441	2	CLM
HG01442	1	CLM
HG01440	1	CLM
HG01443	1	CLM
HG01444	2	CLM
HG01445	1	CLM
HG01447	2	CLM
HG01452	1	CLM
HG01453	2	CLM
HG01454	2	CLM
HG01455	1	CLM
HG01456	2	CLM
HG01457	1	CLM
HG01459	2	CLM
HG01461	1	CLM
HG01462	2	CLM
HG01463	2	CLM
HG01464	1	CLM
HG01465	2	CLM
HG01466	2	CLM
HG01468	2	CLM
HG01471	2	CLM
HG01473	1	CLM
HG01474	2	CLM
HG01477	2	CLM
HG01479	1	CLM
HG01480	2	CLM
HG01481	2	CLM
HG01482	1	CLM
HG01483	2	CLM
HG01484	2	CLM
HG01485	1	CLM
HG01486	2	CLM
HG01487	2	CLM
HG01488	1	CLM
HG01489	2	CLM
HG01490	2	CLM
HG01491	1	CLM
HG01492	2	CLM
HG01493	2	CLM
HG01494	1	CLM
HG01495	2	CLM
HG01496	2	CLM
HG01497	1	CLM
HG01498	2	CLM
HG01499	1	CLM
HG01550	1	CLM
HG01551	2	CLM
HG01552	1	CLM
HG01556	1	CLM
HG03171	2	ESN
HG02922	2	ESN
HG02923	1	ESN
HG02924	1	ESN
HG03493	2	ESN
HG03499	2	ESN
HG03508	2	ESN
HG03510	2	ESN
HG03511	2	ESN
HG03513	1	ESN
